Amazon Echo,1581620287.211119,-40.0
Nest Doorbell,1581620287.230416,-36.0
Nest Doorbell,1581620287.230419,-37.0
Nest Camera,1581620287.24638,-37.0
Nest Camera,1581620287.254269,-41.0
Nest Camera,1581620287.254617,-41.0
Nest Camera,1581620287.255011,-41.0
Nest Camera,1581620287.256837,-41.0
Nest Doorbell,1581620287.265931,-36.0
Amazon Echo,1581620287.273825,-40.0
Amazon Echo,1581620287.291452,-40.0
Nest Camera,1581620287.296382,-37.0
Nest Camera,1581620287.298968,-41.0
Nest Camera,1581620287.334543,-36.0
Nest Camera,1581620287.340404,-40.0
Nest Camera,1581620287.340607,-40.0
Amazon Echo,1581620287.353617,-40.0
Nest Camera,1581620287.376882,-36.0
Nest Camera,1581620287.392198,-40.0
Nest Camera,1581620287.427588,-36.0
Nest Camera,1581620287.430685,-40.0
Amazon Echo,1581620287.433802,-39.0
Amazon Echo,1581620287.448153,-39.0
Nest Camera,1581620287.46649,-36.0
Nest Camera,1581620287.468279,-40.0
Nest Camera,1581620287.469027,-40.0
Nest Camera,1581620287.505198,-37.0
Amazon Echo,1581620287.508813,-39.0
Amazon Echo,1581620287.529028,-41.0
Amazon Echo,1581620287.529039,-41.0
Amazon Echo,1581620287.52904,-39.0
Nest Camera,1581620287.53127,-42.0
Nest Camera,1581620287.532767,-42.0
Nest Camera,1581620287.568871,-38.0
Amazon Echo,1581620287.593999,-41.0
Amazon Echo,1581620287.607907,-38.0
Amazon Echo,1581620287.67402,-38.0
Amazon Echo,1581620287.691366,-38.0
Amazon Echo,1581620287.753522,-38.0
Amazon Echo,1581620287.753526,-38.0
Amazon Echo,1581620287.76793,-38.0
Nest Camera,1581620287.799555,-42.0
Nest Camera,1581620287.800079,-42.0
Nest Camera,1581620287.800514,-42.0
Nest Camera,1581620287.80081,-42.0
Nest Camera,1581620287.801262,-42.0
Nest Camera,1581620287.801652,-42.0
Nest Camera,1581620287.802095,-256.0
Nest Camera,1581620287.802395,-42.0
Nest Camera,1581620287.802942,-256.0
Nest Camera,1581620287.802944,-44.0
Nest Camera,1581620287.803776,-41.0
Nest Camera,1581620287.804083,-41.0
Nest Camera,1581620287.804511,-41.0
Nest Camera,1581620287.805599,-42.0
Nest Camera,1581620287.805882,-42.0
Nest Camera,1581620287.806262,-41.0
Nest Camera,1581620287.807459,-41.0
Nest Camera,1581620287.808115,-256.0
Nest Camera,1581620287.808117,-256.0
Nest Camera,1581620287.80824,-256.0
Nest Camera,1581620287.808654,-256.0
Nest Camera,1581620287.808656,-256.0
Nest Camera,1581620287.809073,-41.0
Nest Camera,1581620287.80967,-256.0
Nest Camera,1581620287.809672,-256.0
Nest Camera,1581620287.810084,-256.0
Nest Camera,1581620287.810085,-256.0
Nest Camera,1581620287.810495,-256.0
Nest Camera,1581620287.810496,-256.0
Nest Camera,1581620287.810925,-42.0
Nest Camera,1581620287.811539,-256.0
Nest Camera,1581620287.811541,-41.0
Nest Camera,1581620287.8123,-256.0
Nest Camera,1581620287.812302,-256.0
Nest Camera,1581620287.812697,-256.0
Nest Camera,1581620287.812699,-256.0
Nest Camera,1581620287.813124,-256.0
Nest Camera,1581620287.813126,-256.0
Nest Camera,1581620287.813545,-41.0
Nest Camera,1581620287.827022,-42.0
Nest Camera,1581620287.829431,-42.0
Nest Camera,1581620287.829685,-42.0
Nest Camera,1581620287.831105,-42.0
Nest Camera,1581620287.831379,-256.0
Nest Camera,1581620287.831645,-256.0
Nest Camera,1581620287.831647,-256.0
Nest Camera,1581620287.832047,-256.0
Nest Camera,1581620287.832049,-256.0
Nest Camera,1581620287.832479,-256.0
Nest Camera,1581620287.832481,-42.0
Nest Camera,1581620287.833177,-256.0
Nest Camera,1581620287.833444,-42.0
Amazon Echo,1581620287.833446,-38.0
Amazon Echo,1581620287.834327,-38.0
Nest Camera,1581620287.835517,-40.0
Nest Camera,1581620287.8356,-40.0
Nest Camera,1581620287.836468,-40.0
Nest Camera,1581620287.83766,-40.0
Nest Camera,1581620287.838538,-40.0
Nest Camera,1581620287.839284,-40.0
Nest Camera,1581620287.839898,-40.0
Nest Camera,1581620287.842886,-40.0
Nest Camera,1581620287.843344,-40.0
Nest Camera,1581620287.843351,-40.0
Nest Camera,1581620287.843963,-40.0
Nest Camera,1581620287.844243,-40.0
Nest Camera,1581620287.84509,-40.0
Nest Camera,1581620287.845487,-40.0
Nest Camera,1581620287.845869,-40.0
Amazon Echo,1581620287.846035,-38.0
Nest Camera,1581620287.84722,-40.0
